HTTP Link,word_count,noun_count,proper_noun_count,adjective_count,prepositions_count,verb_count,num_sentences
https://www.medicalnewstoday.com/articles/depression-tied-to-4-times-higher-early-death-risk-in-diabetes,1667,577,209,108,190,166,61
https://www.medicalnewstoday.com/articles/cannabis-use-increases-heart-attack-stroke-risk,1943,716,269,143,195,221,72
https://www.medicalnewstoday.com/articles/cannabis-use-increases-heart-attack-stroke-risk,1943,716,269,143,195,221,72
https://www.medicalnewstoday.com/articles/cannabis-use-increases-heart-attack-stroke-risk,1943,716,269,143,195,221,72
https://www.medicalnewstoday.com/articles/afib-developing-atrial-fibrillation-before-age-65-may-increase-dementia-risk,1903,637,231,143,188,232,74
https://www.medicalnewstoday.com/articles/afib-developing-atrial-fibrillation-before-age-65-may-increase-dementia-risk,1903,637,231,143,188,232,74
https://www.medicalnewstoday.com/articles/afib-developing-atrial-fibrillation-before-age-65-may-increase-dementia-risk,1903,637,231,143,188,232,74
https://www.medicalnewstoday.com/human-biology,1638,467,132,129,159,158,58
https://www.medicalnewstoday.com/articles/breast-cancer-facts?video=1#1,444,208,126,25,42,36,20
https://www.medicalnewstoday.com/exercise-and-fitness,2246,695,142,191,234,267,60
https://www.medicalnewstoday.com/depression,1813,582,151,146,183,171,50
https://www.medicalnewstoday.com/articles/in-conversation-what-do-we-know-about-the-gut-microbiome-in-ibd,1323,475,209,105,144,133,38
https://www.medicalnewstoday.com/articles/in-conversation-what-do-we-know-about-the-gut-microbiome-in-ibd,1323,475,209,105,144,133,38
https://www.medicalnewstoday.com/articles/in-conversation-what-do-we-know-about-the-gut-microbiome-in-ibd,1323,475,209,105,144,133,38
https://www.medicalnewstoday.com/articles/in-conversation-my-podcast-changed-me,1819,550,212,109,170,217,62
https://www.medicalnewstoday.com/articles/in-conversation-my-podcast-changed-me,1819,550,212,109,170,217,62
https://www.medicalnewstoday.com/articles/in-conversation-my-podcast-changed-me,1819,550,212,109,170,217,62
https://www.medicalnewstoday.com/articles/in-conversation-can-biological-race-explain-disparities-in-health,3969,997,309,320,378,426,157
https://www.medicalnewstoday.com/articles/in-conversation-can-biological-race-explain-disparities-in-health,3969,997,309,320,378,426,157
https://www.medicalnewstoday.com/articles/in-conversation-can-biological-race-explain-disparities-in-health,3969,997,309,320,378,426,157
https://www.medicalnewstoday.com/articles/in-conversation-why-parkinsons-research-is-zooming-in-on-the-gut,3385,972,309,212,379,352,113
https://www.medicalnewstoday.com/articles/in-conversation-why-parkinsons-research-is-zooming-in-on-the-gut,3385,972,309,212,379,352,113
https://www.medicalnewstoday.com/articles/in-conversation-why-parkinsons-research-is-zooming-in-on-the-gut,3385,972,309,212,379,352,113
https://www.medicalnewstoday.com/articles/through-my-eyes-stem-cell-donation,2818,776,183,190,281,332,136
https://www.medicalnewstoday.com/articles/through-my-eyes-stem-cell-donation,2818,776,183,190,281,332,136
https://www.medicalnewstoday.com/articles/through-my-eyes-stem-cell-donation,2818,776,183,190,281,332,136
https://www.medicalnewstoday.com/articles/bipolar-disorder-caregiver-story,1588,450,177,125,144,194,80
https://www.medicalnewstoday.com/articles/bipolar-disorder-caregiver-story,1588,450,177,125,144,194,80
https://www.medicalnewstoday.com/articles/bipolar-disorder-caregiver-story,1588,450,177,125,144,194,80
https://www.medicalnewstoday.com/articles/through-my-eyes-adhd-and-avoidant-restrictive-eating,1977,524,173,132,191,250,76
https://www.medicalnewstoday.com/articles/through-my-eyes-adhd-and-avoidant-restrictive-eating,1977,524,173,132,191,250,76
https://www.medicalnewstoday.com/articles/through-my-eyes-adhd-and-avoidant-restrictive-eating,1977,524,173,132,191,250,76
https://www.medicalnewstoday.com/articles/my-friend-migraine,1592,475,181,113,150,189,85
https://www.medicalnewstoday.com/articles/my-friend-migraine,1592,475,181,113,150,189,85
https://www.medicalnewstoday.com/articles/my-friend-migraine,1592,475,181,113,150,189,85
https://www.medicalnewstoday.com/articles/through-my-eyes-empowering-my-son-to-negotiate-the-autism-cliff-enter-adult-life,2920,861,221,257,273,329,119
https://www.medicalnewstoday.com/articles/through-my-eyes-empowering-my-son-to-negotiate-the-autism-cliff-enter-adult-life,2926,867,222,257,273,329,120
https://www.medicalnewstoday.com/articles/through-my-eyes-empowering-my-son-to-negotiate-the-autism-cliff-enter-adult-life,2920,861,221,257,273,329,119
https://www.medicalnewstoday.com/articles/through-my-eyes-access-to-endometriosis-care,2345,578,165,140,224,305,105
https://www.medicalnewstoday.com/articles/through-my-eyes-access-to-endometriosis-care,2345,578,165,140,224,305,105
https://www.medicalnewstoday.com/articles/through-my-eyes-access-to-endometriosis-care,2345,578,165,140,224,305,105
https://www.medicalnewstoday.com/articles/special-toothpaste-may-lower-risk-of-allergic-reactions-for-adults-with-peanut-allergy,1597,531,198,129,166,176,58
https://www.medicalnewstoday.com/articles/special-toothpaste-may-lower-risk-of-allergic-reactions-for-adults-with-peanut-allergy,1598,533,197,131,165,177,58
https://www.medicalnewstoday.com/articles/special-toothpaste-may-lower-risk-of-allergic-reactions-for-adults-with-peanut-allergy,1598,533,197,131,165,177,58
https://www.medicalnewstoday.com/articles/cell-phone-use-male-infertility,2116,748,224,164,205,223,84
https://www.medicalnewstoday.com/articles/cell-phone-use-male-infertility,2116,748,224,164,205,223,84
https://www.medicalnewstoday.com/articles/cell-phone-use-male-infertility,2116,748,224,164,205,223,84
https://www.medicalnewstoday.com/articles/how-yoga-may-help-reduce-epilepsy-seizures-anxiety,1727,614,197,99,176,213,72
https://www.medicalnewstoday.com/articles/how-yoga-may-help-reduce-epilepsy-seizures-anxiety,1727,614,197,99,176,213,72
https://www.medicalnewstoday.com/articles/how-yoga-may-help-reduce-epilepsy-seizures-anxiety,1727,614,197,99,176,213,72
https://www.medicalnewstoday.com/articles/insulin-resistance-high-sugar-diet-links-obesity-with-dementia,1931,669,232,163,180,228,74
https://www.medicalnewstoday.com/articles/insulin-resistance-high-sugar-diet-links-obesity-with-dementia,1931,669,232,163,180,228,74
https://www.medicalnewstoday.com/articles/insulin-resistance-high-sugar-diet-links-obesity-with-dementia,1931,669,232,163,180,228,74
https://www.medicalnewstoday.com/articles/experimental-spinal-implant-helps-man-with-parkinsons-disease-to-be-mobile-again,1701,555,215,117,154,198,68
https://www.medicalnewstoday.com/articles/experimental-spinal-implant-helps-man-with-parkinsons-disease-to-be-mobile-again,1701,555,215,117,154,198,68
https://www.medicalnewstoday.com/articles/experimental-spinal-implant-helps-man-with-parkinsons-disease-to-be-mobile-again,1701,555,215,117,154,198,68
https://www.medicalnewstoday.com/articles/how-changes-in-the-blood-may-detect-inflammatory-bowel-disease-up-to-eight-years-before-diagnosis,1793,611,225,133,189,189,65
https://www.medicalnewstoday.com/articles/how-changes-in-the-blood-may-detect-inflammatory-bowel-disease-up-to-eight-years-before-diagnosis,1793,611,225,133,189,189,65
https://www.medicalnewstoday.com/articles/how-changes-in-the-blood-may-detect-inflammatory-bowel-disease-up-to-eight-years-before-diagnosis,1793,611,225,133,189,189,65
https://www.medicalnewstoday.com/articles/high-biological-age-stroke-dementia-risk,1795,612,209,193,151,200,77
https://www.medicalnewstoday.com/articles/high-biological-age-stroke-dementia-risk,1795,612,209,193,151,200,77
https://www.medicalnewstoday.com/articles/high-biological-age-stroke-dementia-risk,1795,612,209,193,151,200,77
https://www.medicalnewstoday.com/articles/why-high-insulin-can-play-a-role-in-pancreatic-cancer,1795,587,231,153,182,192,68
